product_id,product_category,product_brand,product_series,product_name,product_storage,ram,product_variant,product_color,product_country,product_base_price,product_description,product_image,months_0_3,months_3_6,months_6_11,months_11_more,scratch_screen_1_2,scratch_screen_3_4,multiple_scratches_screen,no_problem,back_glass_broken,loose_screen,touch_not_working,dots_on_display,no_display,glass_cracked,lines_on_display,color_fade,flickering,scratch_body_1_2,scratch_body_3_4,multiple_scratches_body,body_curved,dents_1_or_2,multiple_dents,sensor_issues,front_camera_not_working,back_camera_not_working,volume,finger_print_not_working,face_id_not_working,wifi_issues,vibrator,battery_faulty,charging_port_issue,speaker_not_working,audio_ic_problem,power_button_issue,bluetooth_issue,camera_glass_broken,headphone_jackissue,battery_less_80,battery_greater_80,box,charger,invoice,product_status
18,1,1,3,Apple iPhone 8,64 GB,2 GB,2 GB|64 GB|India,,India,6100,Apple iPhone 8 Mobile,IMG_6467.jpeg,0.01,15,19,30,3,6,9,,8,8,20,50,35,25,50,50,50,2,5.5,9,9,2,12,4,13,15,10,25,15,35,9,10,10,9,10,9,30,3,5,10,5,3,4,0.01,1
19,1,1,3,Apple iPhone 8,256 GB,2 GB,2 GB|256 GB|India,,India,7000,Apple iPhone 8 Mobile,iPhone_8.jpg,0.01,13,17,30,3,6,9,,8,8,20,50,35,25,50,50,50,2,5.5,9,9,2,12,4,13,15,10,25,15,35,9,10,10,9,10,9,30,3,5,10,5,3,4,0.01,1
20,1,1,3,Apple iPhone 8 Plus,64 GB,3 GB,3 GB|64 GB|India,,India,8000,Apple iPhone 8 Plus Mobile,iPhone_8plus.jpg,0.01,14,18,30,2,4.5,7,,7,6,20,50,35,20,50,50,50,1,4,7,7,1,10,4,9,15,7,20,15,30,8,7,8,9,8,7,25,2,5,10,5,3,4,0.01,1
21,1,1,3,Apple iPhone 8 Plus,256 GB,3 GB,3 GB|256 GB|India,,India,9500,Apple iPhone 8 Plus Mobile,iPhone_8plus.jpg,0.01,14,18,30,2,4.5,7,,7,6,20,50,35,20,50,50,50,1,4,7,7,1,10,4,9,15,7,20,15,30,8,7,8,9,8,7,25,2,5,10,5,6,5,0.01,1
50,1,1,10,Apple iPhone X,64 GB,3 GB,3 GB|64 GB|India,,India,11500,Apple iPhone X Mobile,iPhone_X.jpg,0.01,12,18,29,2,4.5,7,,10,6,20,50,35,35,50,50,50,1,4,7,7,1,10,8,7,13,6,0.5,35,25,9,10,7,8,8,7,25,3,5,10,5,3,3,0.01,1
51,1,1,10,Apple iPhone X,256 GB,3 GB,3 GB|256 GB|India,,India,13500,Apple iPhone X Mobile,iPhone_X.jpg,0.01,12,18,29,2,4.5,7,,10,6,20,50,35,35,50,50,50,1,4,7,7,1,10,8,7,13,6,0.5,35,25,9,10,7,8,8,7,25,3,5,10,5,3,3,0.01,1
52,1,1,11,Apple iPhone XS,64 GB,4 GB,4 GB|64 GB|India,,India,14500,Apple iPhone XS Mobile,IMG_6760.jpeg,0.01,12,19,29,2,4.5,7,,7,6,20,50,35,35,50,50,50,1,4,7,7,1,10,5,7,13,6,0.5,35,25,9,10,7,8,8,7,25,3,5,10,5,3,3,0.01,1
53,1,1,11,Apple iPhone XS,256 GB,4 GB,4 GB|256 GB|India,,India,16000,Apple iPhone XS Mobile,iPhone_XS.jpg,0.01,12,19,29,2,4.5,7,,7,6,20,50,35,35,50,50,50,1,4,7,7,1,10,5,7,13,6,0.5,35,25,9,10,7,8,8,7,25,3,5,10,5,3,3,0.01,1
54,1,1,11,Apple iPhone XS,512 GB,4 GB,4 GB|512 GB|India,,India,17500,Apple iPhone XS Mobile,iPhone_XS.jpg,0.01,12,18,29,2,4.5,7,,7,6,20,50,35,35,50,50,50,1,4,7,15,1,10,5,7,13,6,0.5,35,25,9,10,7,8,8,7,25,3,5,10,5,3,3,0.01,1
55,1,1,11,Apple iPhone XS Max,64 GB,4 GB,4 GB|64 GB|India,,India,18500,Apple iPhone XS Max Mobile,iPhone_XSx.jpg,0.01,12,18,29,2,4.5,7,,7,6,20,50,35,40,50,50,50,1,4,7,15,1,10,5,6,12,6,0.5,30,25,7,12,6,7,6,6,20,2,5,10,5,3,3,0.01,1
56,1,1,11,Apple iPhone XS Max,256 GB,4 GB,4 GB|256 GB|India,,India,20500,Apple iPhone XS Max Mobile,iPhone_XSx.jpg,0.01,12,19,29,2,4.5,7,,7,6,20,50,35,40,50,50,50,1,4,7,15,1,10,5,6,12,6,0.5,30,25,7,12,6,7,6,6,20,2,5,10,5,3,3,0.01,1
57,1,1,11,Apple iPhone XS Max,512 GB,4 GB,4 GB|512 GB|India,,India,22000,Apple iPhone XS Max Mobile,iPhone_XSx.jpg,0.01,14,18,29,2,4.5,7,,7,6,20,50,35,40,50,50,50,1,4,7,15,1,10,5,6,12,6,0.5,30,25,7,12,6,7,6,6,20,2,5,10,5,3,3,0.01,1
32,1,1,9,Apple iPhone XR,256 GB,3 GB,3 GB|256 GB|India,,India,15500,Apple iPhone XR Mobile,iPhone_XR.jpg,0.01,12,19,27,2,4.5,7,,7,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,5,11,6,0.5,35,25,7,11,6,7,7,6,25,2,5,10,5,3,3,0.01,1
